time,wx (rad/s)
"12,912","-0,31"
"12,914","-0,31"
"12,915","-0,3"
"12,929","-0,29"
"12,93","-0,28"
"12,931","-0,27"
"12,932","-0,27"
"12,932","-0,26"
"12,939","-0,25"
"12,939","-0,24"
"12,939","-0,24"
"12,94","-0,23"
"12,948","-0,22"
"12,949","-0,21"
"12,949","-0,2"
"12,949","-0,19"
"12,949","-0,19"
"12,953","-0,18"
"12,955","-0,17"
"12,959","-0,16"
"12,962","-0,16"
"12,962","-0,15"
"12,967","-0,14"
"12,971","-0,14"
"12,971","-0,13"
"12,975","-0,12"
"12,976","-0,11"
"12,979","-0,1"
"12,983","-0,09"
"12,986","-0,09"
"12,986","-0,08"
"12,988","-0,07"
"12,992","-0,06"
"12,995","-0,06"
"12,996","-0,05"
"12,999","-0,04"
"13,003","-0,03"
"13,006","-0,03"
"13,006","-0,02"
"13,009","-0,01"
"13,012","-0,01"
"13,015","0,01"
"13,015","0,01"
"13,019","0,02"
"13,025","0,02"
"13,026","0,03"
"13,026","0,04"
"13,031","0,04"
"13,032","0,05"
"13,035","0,06"
"13,035","0,07"
"13,041","0,08"
"13,042","0,08"
"13,046","0,09"
"13,046","0,1"
"13,048","0,11"
"13,05","0,12"
"13,054","0,12"
"13,057","0,13"
"13,057","0,14"
"13,06","0,15"
"13,063","0,15"
"13,069","0,16"
"13,07","0,17"
"13,07","0,17"
"13,073","0,18"
"13,078","0,19"
"13,08","0,19"
"13,08","0,2"
"13,084","0,21"
"13,089","0,22"
"13,09","0,23"
"13,09","0,24"
"13,093","0,24"
"13,098","0,25"
"13,101","0,25"
"13,101","0,26"
"13,104","0,27"
"13,107","0,27"
"13,11","0,28"
"13,11","0,29"
"13,113","0,3"
"13,118","0,3"
"13,119","0,32"
"13,119","0,32"
"13,123","0,33"
"13,127","0,34"
"13,13","0,34"
"13,13","0,35"
"13,134","0,35"
"13,137","0,36"
"13,14","0,37"
"13,141","0,38"
